x,y,z,E11,E12,E13,E22,E23,E33,EmaxPrincipal,S33,SmaxPrincipal,Smises,U1,U2,U3,instance,d_ads,d_abs,d_ats,d_fss,E_ads,E_abs,E_ats
0.005,0.0,0.115,8.385854499692869e-08,2.559327472173578e-10,-4.708360847871518e-07,8.385854499692869e-08,-4.708360847871518e-07,-4.522284598351689e-06,1.0792566484951749e-07,-88913.078125,-46040.765625,42982.390625,4.1929237859505974e-10,4.1929237859505974e-10,2.5366327463416383e-05,AT,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.005,0.0,0.125,9.80789991444908e-07,-6.703536059582405e-10,-4.885166617896175e-07,9.80789991444908e-07,-4.885166617896175e-07,-5.045436864747899e-06,1.0001921282309922e-06,-80030.28125,-24052.228515625,56072.734375,4.903951911217064e-09,4.903951911217064e-09,2.531848986109253e-05,AT,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.005,0.0,0.135,1.8344854879615013e-06,-1.4359783362394296e-09,-4.949261551701056e-07,1.8344854879615013e-06,-4.949261551701056e-07,-5.510902155947406e-06,1.8504052832213347e-06,-70924.28125,-2764.02392578125,68244.0390625,9.1724352557776e-09,9.17243614395602e-09,2.526570824556984e-05,AT,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.005,0.0,0.145,2.663222630872042e-06,-2.0712835890890346e-09,-4.916237799079681e-07,2.663222630872042e-06,-4.916238935948058e-07,-5.94806942899595e-06,2.6761995286506135e-06,-61789.8046875,18064.546875,79928.8671875,1.3316130420548689e-08,1.3316130420548689e-08,2.520841189834755e-05,AT,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.005,0.0,0.155,3.4843867524614325e-06,-2.609438887191118e-09,-4.790111347574566e-07,3.4843867524614325e-06,-4.790111347574566e-07,-6.38441360933939e-06,3.494694965411327e-06,-52802.43359375,38670.80859375,91539.109375,1.74219643156448e-08,1.742196253928796e-08,2.5146751795546152e-05,AT,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.005,0.0,0.165,4.314747911848826e-06,-3.090786293569181e-09,-4.5816250349162146e-07,4.314747911848826e-06,-4.5816250349162146e-07,-6.846126325399382e-06,4.322600034356583e-06,-44125.25390625,59288.8828125,103471.9609375,2.1573786312956145e-08,2.1573786312956145e-08,2.5080598788917996e-05,AT,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.005,0.0,0.175,5.170717031433014e-06,-3.5535467901581796e-09,-4.287830392968317e-07,5.170717031433014e-06,-4.287830392968317e-07,-7.358578841376584e-06,5.176274044060847e-06,-35912.78515625,80150.6484375,116113.8359375,2.58536498876083e-08,2.58536498876083e-08,2.500957270967774e-05,AT,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.005,0.0,0.185,6.0687725635943934e-06,-4.038509970882842e-09,-3.914306319074967e-07,6.068771654099692e-06,-3.914306319074967e-07,-7.947179256007075e-06,6.072217274777358e-06,-28318.69140625,101490.53125,129853.21875,3.034395490431052e-08,3.034395490431052e-08,2.493304418749176e-05,AT,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.005,0.0,0.195,7.025821560091572e-06,-4.582997537028177e-09,-3.4486083677620627e-07,7.025821560091572e-06,-3.4486083677620627e-07,-8.638017789053265e-06,7.028113031992689e-06,-21501.119140625,123555.6484375,145088.265625,3.512923285597935e-08,3.5129229303265674e-08,2.4850118279573508e-05,AT,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.005,0.0,0.205,8.05968011263758e-06,-5.227121402384682e-09,-2.892903694373672e-07,8.059679203142878e-06,-2.892903694373672e-07,-9.458747626922559e-06,8.062293090915773e-06,-15629.953125,146601.9375,162240.875,4.029855915632652e-08,4.029855915632652e-08,2.4759634470683523e-05,AT,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.005,0.0,0.215,9.189491720462684e-06,-6.009842401510923e-09,-2.2222513962333323e-07,9.189491720462684e-06,-2.2222513962333323e-07,-1.0439375728310551e-05,9.192496690957341e-06,-10893.5166015625,170883.078125,181766.234375,4.594766522814098e-08,4.5947668780854656e-08,2.4660144845256582e-05,AT,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.005,0.0,0.225,1.0436218872200698e-05,-6.9692935866783046e-09,-1.4386473878857942e-07,1.0436218872200698e-05,-1.4386473878857942e-07,-1.1613079550443217e-05,1.043970314640319e-05,-7504.56982421875,196687.875,204166.6875,5.21813632303747e-08,5.218136678308838e-08,2.4549883164581843e-05,AT,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.005,0.0,0.235,1.1823125532828271e-05,-8.144158236689236e-09,-5.002212688509644e-08,1.1823125532828271e-05,-5.002212688509644e-08,-1.3017162928008474e-05,1.1827197340608109e-05,-5708.90283203125,224331.46875,230003.375,5.9115976114298974e-08,5.9115976114298974e-08,2.442673394398298e-05,AT,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0025,-9.456170118937735e-06,-9.684190116487912e-10,5.817196502277966e-09,-9.454830433242023e-06,2.012072064516701e-09,5.85840371059021e-06,5.858404165337561e-06,-138809.265625,-138809.25,226872.65625,-7.09110423713355e-08,-2.3636964385786996e-08,2.6361884010839276e-05,AD,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0075,-8.56961833051173e-06,5.643396860932626e-10,8.221536340613511e-09,-8.570619684178382e-06,2.4963748845863165e-09,4.902564342046389e-06,4.902565706288442e-06,-138884.765625,-138884.75,199595.34375,-6.427876542147715e-08,-2.1426457053053127e-08,2.6388785045128316e-05,AD,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0125,-7.687328434258234e-06,2.114424413335314e-09,-9.058475747281136e-09,-7.69017333368538e-06,-2.5469655273724356e-09,3.953663053835044e-06,3.953664872824447e-06,-138876.265625,-138876.234375,172480.25,-5.767600441686227e-08,-1.92253608588544e-08,2.6410929422127083e-05,AD,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0175,-6.818867859692546e-06,3.5969018874482117e-09,-4.35528910713856e-08,-6.824004685768159e-06,-1.528402826522779e-08,3.0275402878032764e-06,3.027594402738032e-06,-138622.4375,-138621.640625,145911.984375,-5.1179004145751605e-08,-1.7059953449916065e-08,2.6428380806464702e-05,AD,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0225,-6.041173492121743e-06,4.7861608010180134e-09,-2.980352462600422e-07,-6.047725491953315e-06,-9.538770484596171e-08,-1.069187419489026e-05,-6.0351353567966726e-06,-138034.984375,-120787.78125,17241.95703125,-4.5357374744980916e-08,-1.5119269392016577e-08,2.6409221391077153e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0275,-5.361478542909026e-06,5.6341744603116695e-09,-3.5580791291067726e-07,-5.369318387238309e-06,-1.2312716535234358e-07,-1.1322550562908873e-05,-5.354634595278185e-06,-137227.625,-115124.2265625,22096.578125,-4.0268947287813717e-08,-1.3423259836997659e-08,2.635418604768347e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0325,-4.720336164609762e-06,6.25716323199299e-09,-4.381236635708774e-07,-4.728954081656411e-06,-1.407884866466702e-07,-1.189004979096353e-05,-4.711944711743854e-06,-136244.25,-109658.671875,26579.572265625,-3.54663889368112e-08,-1.182235642716023e-08,2.6296154828742146e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0375,-4.123527105548419e-06,6.677496777740544e-09,-5.130169142830709e-07,-4.132753019803204e-06,-1.7714559419346187e-07,-1.2385912668833043e-05,-4.113545401196461e-06,-135068.390625,-104430.015625,30633.853515625,-3.099476586498895e-08,-1.0331861588497304e-08,2.623546424729284e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0425,-3.576125664039864e-06,6.891909709594302e-09,-6.129616849648301e-07,-3.585673312045401e-06,-1.9706490661519638e-07,-1.280158176086843e-05,-3.5637929158838233e-06,-133674.765625,-99460.7578125,34213.05859375,-2.6891612492363492e-08,-8.964166298142118e-09,2.6172492653131485e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0475,-3.0821133805147838e-06,6.943618569010823e-09,-6.952051307962392e-07,-3.0916594369045924e-06,-2.4033440126913774e-07,-1.3131990272086114e-05,-3.0675462312501622e-06,-132056.984375,-94781.2421875,37278.86328125,-2.3186679243281105e-08,-7.7291364419807e-09,2.6107660232810304e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0525,-2.644241476446041e-06,6.826589071806666e-09,-8.060582672442251e-07,-2.6537597932474455e-06,-2.584082778867014e-07,-1.3372189641813748e-05,-2.6264744974469068e-06,-130200.265625,-90401.328125,39808.21484375,-1.9902158143736415e-08,-6.6343908144972374e-09,2.6041401724796742e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0575,-2.2648871436103946e-06,6.60511956240839e-09,-8.865382028488966e-07,-2.2739270661986666e-06,-3.078177712723118e-07,-1.352011713606771e-05,-2.244285269625834e-06,-128106.9296875,-86344.578125,41777.89453125,-1.705383567696117e-08,-5.684810844286403e-09,2.5974171876441687e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0625,-1.9447643353487365e-06,6.249330830598865e-09,-1.003736542770639e-06,-1.953542778210249e-06,-3.197513365194027e-07,-1.3573895557783544e-05,-1.919959913720959e-06,-125770.8671875,-82608.1328125,43187.0078125,-1.4650486157563591e-08,-4.88385198949004e-09,2.5906436349032447e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0675,-1.6848998711793683e-06,5.848210360426265e-09,-1.0740571951828315e-06,-1.6928623836065526e-06,-3.7590865531456075e-07,-1.3533964192902204e-05,-1.6566883687119116e-06,-123201.140625,-79211.2421875,44022.24609375,-1.2696016682411937e-08,-4.232151962213493e-09,2.583866626082454e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0725,-1.484314907429507e-06,5.326424634688465e-09,-1.1956184380323975e-06,-1.4918667829988408e-06,-3.768558372030384e-07,-1.3400910575001035e-05,-1.450594027119223e-06,-120398.203125,-76137.7890625,44304.39453125,-1.1187935911038949e-08,-3.7296636890005175e-09,2.5771329092094675e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0775,-1.3428863212539e-06,4.808871079120536e-09,-1.2474057484723744e-06,-1.3493850019585807e-06,-4.4210585770088073e-07,-1.3177253094909247e-05,-1.3052142548986012e-06,-117376.671875,-73406.15625,44024.09765625,-1.0120108306921338e-08,-3.373459955824387e-09,2.570488504716195e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0825,-1.2582103181557613e-06,4.149329768665666e-09,-1.3739490896114148e-06,-1.2641766033993918e-06,-4.259804313733184e-07,-1.2865601092926227e-05,-1.2131657740610535e-06,-114141.6796875,-70984.5078125,43226.2421875,-9.480334739464524e-09,-3.1604390215989042e-09,2.563977977843024e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0875,-1.2290848871998605e-06,3.5324618785637085e-09,-1.3975343335914658e-06,-1.2337903854131582e-06,-5.047940589975042e-07,-1.2470392903196625e-05,-1.1796112175943563e-06,-110713.109375,-68895.390625,41897.734375,-9.253333210779147e-09,-3.0844735654511624e-09,2.557644256739877e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0925,-1.2518080438894685e-06,2.7063600249732644e-09,-1.5321219279940124e-06,-1.2557575246319175e-06,-4.631824026546383e-07,-1.1996103239653166e-05,-1.19210699267569e-06,-107100.1796875,-67085.3828125,40116.23828125,-9.417475688167087e-09,-3.1393914134980605e-09,2.5515275410725735e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0075,0.0,0.0975,-1.3239503005024744e-06,1.9607357959472438e-09,-1.5146868008741876e-06,-1.3263727396406466e-06,-5.627019277198997e-07,-1.1449263183749281e-05,-1.2595464795595035e-06,-103328.8125,-65589.1171875,37853.16015625,-9.948096568734854e-09,-3.3159306411789657e-09,2.5456662115175277e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0025,-9.459678949497174e-06,-1.6105679012667906e-09,1.0039832076813582e-08,-9.456119187234435e-06,2.0493304830893067e-09,5.86059422857943e-06,5.8605960475688335e-06,-138821.890625,-138821.859375,226940.734375,-1.182004538691217e-07,-2.3640190249807347e-08,2.6353076464147307e-05,AD,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0075,-8.567392796976492e-06,9.437136627710174e-10,1.3664772424704097e-08,-8.569866622565314e-06,2.5808188919285158e-09,4.901182819594396e-06,4.901186457573203e-06,-138877.625,-138877.578125,199552.859375,-1.0712112441524368e-07,-2.1424574114803363e-08,2.637997931742575e-05,AD,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0125,-7.678242582187522e-06,3.538081605469756e-09,-1.3802536003026944e-08,-7.687347533646971e-06,-2.4761985795151986e-09,3.9465426198148634e-06,3.946546712541021e-06,-138898.953125,-138898.890625,172286.625,-9.608979212316626e-08,-1.9218294511347267e-08,2.6402098228572868e-05,AD,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0175,-6.8042686507396866e-06,6.018983089717267e-09,-7.419171055289553e-08,-6.81919846101664e-06,-1.5299976396931925e-08,3.0171636353770737e-06,3.0173096092767082e-06,-138620.109375,-138617.9375,145616.671875,-8.523673500349105e-08,-1.7047938172254362e-08,2.6419507776154205e-05,AD,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0225,-6.021276021783706e-06,8.012083441144568e-09,-4.904913453174231e-07,-6.041323104000185e-06,-9.572040227112666e-08,-1.0707557521527633e-05,-6.00722205490456e-06,-138047.1875,-120638.53125,17393.63671875,-7.551341241196496e-08,-1.510326441689358e-08,2.640028287714813e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0275,-5.338429218681995e-06,9.417086666019259e-09,-6.046884095667338e-07,-5.3617977755493484e-06,-1.2364434098799393e-07,-1.1338787771819625e-05,-5.321689968695864e-06,-137225.828125,-114940.2734375,22268.599609375,-6.701864663227752e-08,-1.3404456211674187e-08,2.6345169317210093e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0325,-4.69458291263436e-06,1.0443677922467032e-08,-7.228090339594928e-07,-4.720599463325925e-06,-1.4140174187105004e-07,-1.1908041415154003e-05,-4.6748255044803955e-06,-136241.234375,-109451.5625,26772.90234375,-5.9003632202347944e-08,-1.1801470023442562e-08,2.62870507867774e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0375,-4.096180418855511e-06,1.113769965144229e-08,-8.712210046724067e-07,-4.123852249904303e-06,-1.7791478512663161e-07,-1.2402889296936337e-05,-4.071377588843461e-06,-135048.015625,-104190.5703125,30846.62109375,-5.1543995738256854e-08,-1.0309607390013298e-08,2.6226274712826125e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0425,-3.5479420148476493e-06,1.1473892058688762e-08,-1.0112051995747606e-06,-3.57648264071031e-06,-1.9787309213370463e-07,-1.2818514733226039e-05,-3.5182927149435272e-06,-133649.1875,-99203.90625,34441.68359375,-4.4701749857267714e-08,-8.941190898781315e-09,2.6163219445152208e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0475,-3.0536448321072385e-06,1.1558611845430278e-08,-1.180502408715256e-06,-3.082417606492527e-06,-2.412450612609973e-07,-1.314670134888729e-05,-3.016700475200196e-06,-132012.078125,-94493.546875,37528.07421875,-3.852605345855409e-08,-7.70603225674904e-09,2.609830698929727e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0525,-2.6164689188590273e-06,1.1337037975067688e-08,-1.3274001275931369e-06,-2.6446659830980934e-06,-2.592924204236624e-07,-1.3385521015152335e-05,-2.5730776087584672e-06,-130147.984375,-90101.890625,40068.8125,-3.305391871322172e-08,-6.611656555577383e-09,2.603197754069697e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0575,-2.2377719233190874e-06,1.097589219511974e-08,-1.5068847005750285e-06,-2.2651513518212596e-06,-3.0874664957991627e-07,-1.353048901364673e-05,-2.1845814899279503e-06,-128035.109375,-86013.1953125,42064.64453125,-2.8310472188763924e-08,-5.66287283731981e-09,2.59646876656916e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0625,-1.9194537799194222e-06,1.035157204398729e-08,-1.6476113842145423e-06,-1.94522272067843e-06,-3.205994119070965e-07,-1.3582103747467045e-05,-1.858373934737756e-06,-125691.4296875,-82270.1953125,43481.96484375,-2.4311020752065815e-08,-4.863052183168293e-09,2.5896904844557866e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0675,-1.6608548776275711e-06,9.706379699991885e-09,-1.8301652744412422e-06,-1.6851097370818025e-06,-3.7675738440157147e-07,-1.3538882740249392e-05,-1.586892153682129e-06,-123103.2421875,-78836.59375,44354.65234375,-2.106039431737372e-08,-4.212770576828007e-09,2.5829103833530098e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0725,-1.4628241160608013e-06,8.796998685056678e-09,-1.953167384272092e-06,-1.4847729516986874e-06,-3.775925847548933e-07,-1.340333437838126e-05,-1.3796909570373828e-06,-120294.171875,-75762.140625,44641.90625,-1.8555773806383513e-08,-3.711929430494365e-09,2.5761750293895602e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0775,-1.323076958215097e-06,7.980848870658974e-09,-2.135240947609418e-06,-1.3430301351036178e-06,-4.428261775046849e-07,-1.3176263564673718e-05,-1.2228562127347686e-06,-117255.6796875,-72983.7890625,44417.9765625,-1.6785010714670534e-08,-3.357573108431211e-09,2.569530079199467e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0825,-1.2415194987625e-06,6.825140452804135e-09,-2.229100573458709e-06,-1.2586373259182437e-06,-4.2658396637307305e-07,-1.2862031326221768e-05,-1.1310933132335776e-06,-114016.9921875,-70569.0625,43619.01953125,-1.5729650471030254e-08,-3.1465912098127546e-09,2.5630206437199377e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0125,0.0,0.0875,-1.2144902257205104e-06,5.877381692442896e-09,-2.4101391318254173e-06,-1.2291503708183882e-06,-5.053988729741832e-07,-1.2463243365345988e-05,-1.0807355010911124e-06,-110572.6328125,-68415.1875,42377.546875,-1.5362262573148655e-08,-3.072873733245274e-09,2.556689469201956e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
