varid,d_ads,d_abs,d_ats,d_fss,E_ads,E_abs,E_ats
612,0.06,0.08,0.18,0.48,20000,5000,5000
613,0.06,0.08,0.18,0.48,20000,5000,12500
614,0.06,0.08,0.18,0.48,20000,5000,20000
615,0.06,0.08,0.18,0.48,20000,12500,5000
616,0.06,0.08,0.18,0.48,20000,12500,12500
617,0.06,0.08,0.18,0.48,20000,12500,20000
618,0.06,0.08,0.18,0.48,20000,20000,5000
619,0.06,0.08,0.18,0.48,20000,20000,12500
620,0.06,0.08,0.18,0.48,20000,20000,20000
621,0.06,0.08,0.22,0.44,5000,5000,5000
622,0.06,0.08,0.22,0.44,5000,5000,12500
623,0.06,0.08,0.22,0.44,5000,5000,20000
624,0.06,0.08,0.22,0.44,5000,12500,5000
625,0.06,0.08,0.22,0.44,5000,12500,12500
626,0.06,0.08,0.22,0.44,5000,12500,20000
627,0.06,0.08,0.22,0.44,5000,20000,5000
628,0.06,0.08,0.22,0.44,5000,20000,12500
629,0.06,0.08,0.22,0.44,5000,20000,20000
630,0.06,0.08,0.22,0.44,12500,5000,5000
631,0.06,0.08,0.22,0.44,12500,5000,12500
632,0.06,0.08,0.22,0.44,12500,5000,20000
633,0.06,0.08,0.22,0.44,12500,12500,5000
634,0.06,0.08,0.22,0.44,12500,12500,12500
635,0.06,0.08,0.22,0.44,12500,12500,20000
636,0.06,0.08,0.22,0.44,12500,20000,5000
637,0.06,0.08,0.22,0.44,12500,20000,12500
638,0.06,0.08,0.22,0.44,12500,20000,20000
639,0.06,0.08,0.22,0.44,20000,5000,5000
640,0.06,0.08,0.22,0.44,20000,5000,12500
641,0.06,0.08,0.22,0.44,20000,5000,20000
642,0.06,0.08,0.22,0.44,20000,12500,5000
643,0.06,0.08,0.22,0.44,20000,12500,12500
644,0.06,0.08,0.22,0.44,20000,12500,20000
645,0.06,0.08,0.22,0.44,20000,20000,5000
646,0.06,0.08,0.22,0.44,20000,20000,12500
647,0.06,0.08,0.22,0.44,20000,20000,20000
648,0.06,0.1,0.14,0.5,5000,5000,5000
649,0.06,0.1,0.14,0.5,5000,5000,12500
650,0.06,0.1,0.14,0.5,5000,5000,20000
651,0.06,0.1,0.14,0.5,5000,12500,5000
652,0.06,0.1,0.14,0.5,5000,12500,12500
653,0.06,0.1,0.14,0.5,5000,12500,20000
654,0.06,0.1,0.14,0.5,5000,20000,5000
655,0.06,0.1,0.14,0.5,5000,20000,12500
656,0.06,0.1,0.14,0.5,5000,20000,20000
657,0.06,0.1,0.14,0.5,12500,5000,5000
658,0.06,0.1,0.14,0.5,12500,5000,12500
659,0.06,0.1,0.14,0.5,12500,5000,20000
660,0.06,0.1,0.14,0.5,12500,12500,5000
661,0.06,0.1,0.14,0.5,12500,12500,12500
662,0.06,0.1,0.14,0.5,12500,12500,20000
663,0.06,0.1,0.14,0.5,12500,20000,5000
664,0.06,0.1,0.14,0.5,12500,20000,12500
665,0.06,0.1,0.14,0.5,12500,20000,20000
666,0.06,0.1,0.14,0.5,20000,5000,5000
667,0.06,0.1,0.14,0.5,20000,5000,12500
668,0.06,0.1,0.14,0.5,20000,5000,20000
669,0.06,0.1,0.14,0.5,20000,12500,5000
670,0.06,0.1,0.14,0.5,20000,12500,12500
671,0.06,0.1,0.14,0.5,20000,12500,20000
672,0.06,0.1,0.14,0.5,20000,20000,5000
673,0.06,0.1,0.14,0.5,20000,20000,12500
674,0.06,0.1,0.14,0.5,20000,20000,20000
675,0.06,0.1,0.18,0.46,5000,5000,5000
676,0.06,0.1,0.18,0.46,5000,5000,12500
677,0.06,0.1,0.18,0.46,5000,5000,20000
678,0.06,0.1,0.18,0.46,5000,12500,5000
679,0.06,0.1,0.18,0.46,5000,12500,12500
680,0.06,0.1,0.18,0.46,5000,12500,20000
681,0.06,0.1,0.18,0.46,5000,20000,5000
682,0.06,0.1,0.18,0.46,5000,20000,12500
683,0.06,0.1,0.18,0.46,5000,20000,20000
684,0.06,0.1,0.18,0.46,12500,5000,5000
685,0.06,0.1,0.18,0.46,12500,5000,12500
686,0.06,0.1,0.18,0.46,12500,5000,20000
687,0.06,0.1,0.18,0.46,12500,12500,5000
688,0.06,0.1,0.18,0.46,12500,12500,12500
689,0.06,0.1,0.18,0.46,12500,12500,20000
690,0.06,0.1,0.18,0.46,12500,20000,5000
691,0.06,0.1,0.18,0.46,12500,20000,12500
692,0.06,0.1,0.18,0.46,12500,20000,20000
693,0.06,0.1,0.18,0.46,20000,5000,5000
694,0.06,0.1,0.18,0.46,20000,5000,12500
695,0.06,0.1,0.18,0.46,20000,5000,20000
696,0.06,0.1,0.18,0.46,20000,12500,5000
697,0.06,0.1,0.18,0.46,20000,12500,12500
698,0.06,0.1,0.18,0.46,20000,12500,20000
699,0.06,0.1,0.18,0.46,20000,20000,5000
700,0.06,0.1,0.18,0.46,20000,20000,12500
701,0.06,0.1,0.18,0.46,20000,20000,20000
702,0.06,0.1,0.22,0.42,5000,5000,5000
703,0.06,0.1,0.22,0.42,5000,5000,12500
704,0.06,0.1,0.22,0.42,5000,5000,20000
705,0.06,0.1,0.22,0.42,5000,12500,5000
706,0.06,0.1,0.22,0.42,5000,12500,12500
707,0.06,0.1,0.22,0.42,5000,12500,20000
708,0.06,0.1,0.22,0.42,5000,20000,5000
709,0.06,0.1,0.22,0.42,5000,20000,12500
710,0.06,0.1,0.22,0.42,5000,20000,20000
711,0.06,0.1,0.22,0.42,12500,5000,5000
712,0.06,0.1,0.22,0.42,12500,5000,12500
713,0.06,0.1,0.22,0.42,12500,5000,20000
714,0.06,0.1,0.22,0.42,12500,12500,5000
715,0.06,0.1,0.22,0.42,12500,12500,12500
716,0.06,0.1,0.22,0.42,12500,12500,20000
717,0.06,0.1,0.22,0.42,12500,20000,5000
718,0.06,0.1,0.22,0.42,12500,20000,12500
719,0.06,0.1,0.22,0.42,12500,20000,20000
720,0.06,0.1,0.22,0.42,20000,5000,5000
721,0.06,0.1,0.22,0.42,20000,5000,12500
722,0.06,0.1,0.22,0.42,20000,5000,20000
723,0.06,0.1,0.22,0.42,20000,12500,5000
724,0.06,0.1,0.22,0.42,20000,12500,12500
725,0.06,0.1,0.22,0.42,20000,12500,20000
726,0.06,0.1,0.22,0.42,20000,20000,5000
727,0.06,0.1,0.22,0.42,20000,20000,12500
728,0.06,0.1,0.22,0.42,20000,20000,20000
