x,z,instance,maxP,winkel_x,winkel_y,winkel_z,zulN
0.0025,0.0025,AD,5.856833597311564e-06,90.00372342639002,90.00372342699976,179.99473427948382,36213489683.696526
0.0025,0.0075,AD,4.903779649928348e-06,89.99478850596772,89.99478850596772,0.007370165487993191,66286867261.92866
0.0025,0.0125,AD,3.956662398502518e-06,90.00634720010552,90.00634720010552,0.00897629645664301,137621705876.0781
0.0025,0.0175,AD,3.0332896740688463e-06,90.04439615401475,90.04439615401475,0.06278564940455511,340063459050.66064
0.005,0.115,AT,1.0792566382637121e-07,45.14735436347104,45.147354363471024,94.11272686771974,1.8506514604959036e+16
0.005,0.125,AT,1.000192093467301e-06,134.90677687650043,134.90677687649804,86.72980555344121,10761699535043.346
0.005,0.135,AT,1.8504052972164188e-06,134.9353968886027,134.9353968885966,87.27813732506372,1373678346411.2014
0.005,0.145,AT,2.6761994231172192e-06,134.95352155452332,134.95353707708642,87.69174791829802,399653081868.87805
0.005,0.155,AT,3.494695007230752e-06,134.96636369970432,134.9663636997311,88.03634405189075,163648687626.86597
0.005,0.165,AT,4.322599869659511e-06,134.9759159661266,134.97591596615854,88.33849453909328,80344672637.14651
0.005,0.175,AT,5.176274005670718e-06,134.98324882155993,134.98324882156277,88.61438901704815,43960055510.39476
0.005,0.185,AT,6.0722173523682725e-06,135.00710242823746,134.97057344814942,88.86896333894,25767950749.12818
0.005,0.195,AT,7.028113058860085e-06,45.000000000133916,135.00000000013392,89.99999999999793,15799289415.368357
0.005,0.205,AT,8.062293218664266e-06,135.00917794846177,45.00917794866214,89.99989284691141,9980436533.420332
0.005,0.215,AT,9.192496641663439e-06,134.9999999999866,44.999999999986606,90.00000000000011,6434451807.44425
0.005,0.225,AT,1.0439703518994037e-05,135.0000000000057,45.0000000000057,89.99999999999997,4203677358.108939
0.005,0.235,AT,1.1827197611946613e-05,135.00000000000958,45.000000000009564,89.99999999999999,2768836398.095692
0.0075,0.0025,AD,5.8584043290831266e-06,90.01088169833328,90.0037638258302,179.98848575912425,36180449485.212364
0.0075,0.0075,AD,4.9025657120162465e-06,90.01748277454617,90.00530838105165,179.98172908550652,66342755362.8496
0.0075,0.0125,AD,3.953664955425798e-06,90.0222930138615,90.0062684441729,0.023157544416189512,137977192526.78113
0.0075,0.0175,AD,3.0275943827943024e-06,89.87327672063866,89.95553189890231,179.86570104990872,342245935233.07904
0.0125,0.0025,AD,5.860595941942883e-06,89.98122638740149,89.99616798563325,0.01916071149287185,36134414252.19245
0.0125,0.0075,AD,4.9011864092061245e-06,89.97093461434663,89.99451054643731,0.02957922832946325,66406330654.290215
0.0125,0.0125,AD,3.946546848862634e-06,89.96598439229147,89.99389731212854,179.96544129088716,138826148925.8209
0.0125,0.0175,AD,3.0173097126878708e-06,89.78358269780006,89.95537439520888,179.77902961231007,346233216379.0919
0.015,0.115,AT,2.033702477700289e-07,159.60553764138527,108.15040798525695,81.01345034898084,2221417947694373.5
0.015,0.125,AT,1.0741187136263724e-06,160.28374410481442,108.24803146721531,82.78761381793718,8477328976959.819
0.015,0.135,AT,1.9077410365120536e-06,160.66493185888706,108.29831622740625,83.96648183553198,1240343545771.4045
0.015,0.145,AT,2.7193194010265184e-06,160.88923145601086,108.35781785065919,84.87035880728494,378840216444.2714
0.015,0.155,AT,3.525107057250526e-06,161.05084437635855,108.40003693791304,85.62689887618839,158972287495.3358
0.015,0.165,AT,4.341245515506461e-06,18.884624950850846,71.50921295516532,93.7036306243254,79195839851.54839
0.015,0.175,AT,5.183942663115812e-06,161.11211502883936,108.6139208873927,86.90720799495035,43742840635.09457
0.015,0.185,AT,6.069449684492638e-06,160.55009182264638,109.27219390565315,87.47540640809969,25807287887.18684
0.015,0.195,AT,7.018915892625884e-06,73.12767542293143,163.12758364737658,89.94595387745053,15868666315.622355
0.015,0.205,AT,8.051800621923763e-06,72.1482742333059,162.14826697364148,89.98441977941478,10024020743.361198
0.015,0.215,AT,9.180432049579044e-06,71.96070348556943,161.96070217921653,89.99336088316659,6462788969.968853
0.015,0.225,AT,1.0425715595479229e-05,71.90239787986305,161.90239740979504,89.9960119036515,4222578413.1682053
0.015,0.235,AT,1.1810852912785648e-05,71.87431489688021,161.8743148924153,89.99961105954682,2781678134.4615855
0.0175,0.0025,AD,5.865478470885864e-06,89.97315308215683,89.9960499182264,0.027135956693101673,36032127977.11493
0.0175,0.0075,AD,4.8975691390265506e-06,89.95641151079984,89.99422451031931,0.0439694517180708,66573433916.001434
0.0175,0.0125,AD,3.93747231979607e-06,89.95196825913189,89.99411853506243,179.95160950736852,139918268330.0552
0.0175,0.0175,AD,3.0000001493071702e-06,89.69942540345434,89.95517013785968,179.69610060628372,353080728260.3713
0.0225,0.0025,AD,5.870235114490891e-06,89.96394619437105,89.99591084271245,0.036284957097843025,35932838884.82668
0.0225,0.0075,AD,4.894858322102575e-06,89.94140498401894,89.99384923622841,0.058916956974255974,66699019460.17416
0.0225,0.0125,AD,3.923044646797779e-06,89.9430168015572,89.99436531169356,179.94273889070212,141677633129.78717
0.0225,0.0175,AD,2.9790258276412543e-06,89.6065715898333,89.95499490374996,179.60400576231063,361614659800.58966
0.025,0.115,AT,3.8482489771971993e-07,17.82078065781411,79.06096394025553,103.89272691506628,262947734882766.1
0.025,0.125,AT,1.2167739840844096e-06,164.0592873569746,101.05757695594369,78.66305586907943,5585314068112.163
0.025,0.135,AT,2.018965955816436e-06,165.24312669419731,101.13067419980332,80.43452681980142,1026120480903.1356
0.025,0.145,AT,2.8032741907812673e-06,166.0784714807759,101.19011567602581,81.82426575907691,342192865252.8643
0.025,0.155,AT,3.5842316480590453e-06,166.70919246487662,101.24502798392511,83.00665875150821,150366373305.77386
0.025,0.165,AT,4.377434272362503e-06,167.18501864788664,101.31491268863448,84.06215650039259,77026307902.57642
